id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
200,Rafael dos Santos Henrique,"BARROS, T. A. R",2026,"Age-related differences in angle-specific change-of-direction performance in basketball: a network analysisAltersabhängige Unterschiede bei der Leistung in Bezug auf die winkelspezifische Richtungsänderung im Basketball: eine Netzwerkanalyse. German Journal Of Exercise And Sport Research, p. 1, 2026",artigo,,,,,,,,,,,origem=planilha_nova
201,Rafael dos Santos Henrique,"BARROS, T. A. R",2025,"Is curve sprint performance in soccer related to other speed and power abilities across age categories?. SPORT SCIENCES FOR HEALTH (TESTO STAMPATO), p. 1-10, 2025",artigo,,,,,,,,,,,origem=planilha_nova
202,Guilherme Assunção Ferreira,"BARROS, T. A. R",2025,"Anaerobic speed or power reserve as a key determinant of repeatability in high-intensity efforts. JOURNAL OF APPLIED PHYSIOLOGY, v. 139, p. 1722-1723, 2025",artigo,JOURNAL OF APPLIED PHYSIOLOGY,,,87507587,10.1152/japplphysiol.00700.2025,,Web of Science (JCR); Scopus (SJR),3.3,Q1,90,origem=planilha_nova
203,Clarice Maria de Lucena Martins,"BATISTA-LEMES, V",2021,"Physical fitness plays a crucial mediator role in the relationship among personal, social, and lifestyle factors and children?s cognitive performance in a structural equation model. The Cogni-Action project. Frontiers in Pediatrics, v. 9, p. 1-12, 2021",artigo,Frontiers in Pediatrics,,,,,,Scopus (SJR),,,90,origem=planilha_nova
204,Paulo Felipe Ribeiro Bandeira,"BERTOLDI, R",2022,"Psychometric Evidence of the Coping Inventory for Brazilian Paralympic Athletes in Competition Situations. PAIDÉIA (USP. ONLINE), v. 32, p. 1-8, 2022",artigo,ONLINE),,,,,,,,,,origem=planilha_nova
205,Paulo Felipe Ribeiro Bandeira,"BERTOLDI, RAFAELA",2021,"Construction and Content Validity Evidences of Coping Inventory for Brazilian Paralympic Athletes in Competition Situations. International Journal of Disability Development and Education, v. 68, p. 1-14, 2021",artigo,International Journal of Disability Development and Education,,,,,,Scopus (SJR),,,90,origem=planilha_nova
206,Paulo Felipe Ribeiro Bandeira,"BEZERRA, M. A. A",2023,"PERCEIVED BARRIERS TO THE PRACTICE OF PHYSICAL ACTIVITY BY SCHOOL TEENAGERS: A NETWORK ANALYSIS. Revista Interfaces: Saúde, Humanas e Tecnologia, v. 11, p. 1798-1807, 2023",artigo,"Revista Interfaces: Saúde, Humanas e Tecnologia",,,17981807,,,,,,,origem=planilha_nova
207,Clarice Maria de Lucena Martins,"BEZERRA, T",2021,"A Network Perspective on the Relationship Between Moderate to Vigorous Physical Activity and Fundamental Motor Skills in Early Childhood. Journal of Physical Activity & Health, p. 1-8, 2021",artigo,,,,,,,,,,,origem=planilha_nova
208,Clarice Maria de Lucena Martins,"BEZERRA, T",2022,"Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems. INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH, v. 14, p. 1-11, 2022",artigo,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,,,,Scopus (SJR),,,90,origem=planilha_nova
209,Clarice Maria de Lucena Martins,"BEZERRA, THAYNÃ",2022,"Biological, behavioral, and social correlates of executive function in low-income preschoolers: Insights from the perspective of the networks. Applied Neuropsychology-Child, v. 10, p. 1-9, 2022",artigo,Applied Neuropsychology-Child,,,,,,Scopus (SJR),,,90,origem=planilha_nova
210,Paulo Felipe Ribeiro Bandeira,"BEZERRA, THAYNÃ",2024,"Are there associations between sedentary time inside and outside preschools with preschoolers? executive function?. CHILD NEUROPSYCHOLOGY, v. 31, p. 1-12, 2024",artigo,CHILD NEUROPSYCHOLOGY,,,,,,Scopus (SJR),,,90,origem=planilha_nova
211,Paulo Felipe Ribeiro Bandeira,"BEZERRA, THAYNÃ",2023,"Physical Activity, Sedentary Behaviour and Cardiovascular Risk Factors in Overweight Low-Income Schoolchildren: A Complex System Perspective. Obesities, v. 3, p. 86-96, 2023",artigo,Obesities,,,,,,Scopus (SJR),,,90,origem=planilha_nova
212,Paulo Felipe Ribeiro Bandeira,"BEZERRA, THAYNÃ ALVES",2022,"Biological, behavioral, and social correlates of executive function in low-income preschoolers: Insights from the perspective of the networks. APPLIED NEUROPSYCHOLOGY: CHILD, v. 11, p. 1-9, 2022",artigo,APPLIED NEUROPSYCHOLOGY: CHILD,,,,,,Scopus (SJR),,,90,origem=planilha_nova
213,Paulo Felipe Ribeiro Bandeira,"BEZERRA, THAYNÃ ALVES",2022,"Effects of a multicomponent intervention on cardiovascular risk factors in overweight children: a randomized clinical trial in light of complex systems. INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH, v. 33, p. 1-11, 2022",artigo,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,,,,Scopus (SJR),,,90,origem=planilha_nova
214,Paulo Felipe Ribeiro Bandeira,"BEZERRA, THAYNÃ ALVES",2021,"A Network Perspective on the Relationship Between Moderate to Vigorous Physical Activity and Fundamental Motor Skills in Early Childhood. Journal of Physical Activity & Health, v. 18, p. 1-8, 2021",artigo,Journal of Physical Activity & Health,,,,,,Scopus (SJR),,,90,origem=planilha_nova
215,Rafael dos Santos Henrique,"BEZERRA-SANTOS, D",2023,Gross motor coordination in schoolboys of pubertal age contrasting in futsal practice level groups,artigo,RETOS,,,19882041,10.47197/retos.v72.113173,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,origem=planilha_nova
216,Clarice Maria de Lucena Martins,"BOHN, LUCIMERE",2023,"Behavioral, Sociodemographic, and Sleep Correlates of Symptoms ofDepression amongst Older Brazilian Females According to Age: A Cross-Sectional Network Analysis. Current Aging Science, v. 16, p. 143-152, 2023",artigo,Current Aging Science,,,,,,Scopus (SJR),,,90,origem=planilha_nova
217,Paulo Felipe Ribeiro Bandeira,"BORFE, LETICIA",2024,"WEB OF TRANSFORMATIONS: impact of multicomponent intervention on the relationship between sociodemographic indicators, changes in body composition, cardiorespiratory fitness and biochemical markers in adolescents with overweight and obesity. INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH, v. 34, p. 1-10, 2024",artigo,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,,,,,,Scopus (SJR),,,90,origem=planilha_nova
218,Lucas Eduardo Rodrigues dos Santos,"BRIETZKE, CAYQUE",2021,"Proof-of-Concept and Test-Retest Reliability Study of Psychological and Physiological Variables of the Mental Fatigue Paradigm. International Journal of Environmental Research and Public Health, v. 18, p. 9532, 2021",artigo,International Journal of Environmental Research and Public Health,,,16604601,10.3390/ijerph23020221,,Web of Science (JCR); Scopus (SJR),,,90,origem=planilha_nova
219,Tony Meireles dos Santos,"BRIETZKE, CAYQUE",2024,"Carbohydrate mouth rinse improves performance of mentally fatigued cyclists despite null effects on psychological responses. PHYSIOLOGY & BEHAVIOR, v. 274, p. 114428-114428, 2024",artigo,PHYSIOLOGY & BEHAVIOR,,,,,,Scopus (SJR),,,90,origem=planilha_nova
220,Saulo Fernandes Melo de Oliveira,"CABRA, L. A",2023,"Muscle Activation During the Squat Performed in Different Ranges of Motion by Women. Muscles, v. 2, p. 12-22, 2023",artigo,Muscles,,,,,,Scopus (SJR),,,90,origem=planilha_nova
221,Paulo Felipe Ribeiro Bandeira,"CALIXTO, M. N",2025,"CLIMA DE MOTIVAÇÃO PARA MAESTRIA EM UMA INTERVENÇÃO MOTORA PRÉ-ESCOLAR: UM RELATO DE EXPERIÊNCIA SOBRE AS IMPLICAÇÕES DESSA ABORDAGEM METODOLÓGICA. Revista de Extensão da Urca, v. 1, p. 1-9, 2025",artigo,Revista de Extensão da Urca,,,,,,,,,,origem=planilha_nova
222,Eduardo Zapaterra Campos,"CAMAROTTI JUNIOR, F",2024,"Evaluation of the effects of acute taurine supplementation on aerobic physical performance in active young adults. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 24, p. 1177-1185, 2024",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
223,Pedro Pinheiro Paes Neto,"CAMAROTTI JUNIOR, F",2024,"Evaluation of the effects of acute taurine supplementation on aerobic physical performance in active young adults. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 24, p. 1177-1185, 2024",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
224,Pedro Pinheiro Paes Neto,"CAMAROTTI JUNIOR, F",2025,"CAMAROTTI JUNIOR, F",capitulo,Ejercicio salud y sociedad: una mirada mutidisciplinar,,,9791370062781,,,,,,45,origem=planilha_nova
225,Eduardo Zapaterra Campos,"CAMPOS, E.Z",2022,Anaerobic Contribution Determined in Free-Swimming: Sensitivity to Maturation Stages and Validity,artigo,Frontiers In Sports And Active Living,,,26249367,10.3389/fspor.2025.1724991,,Web of Science (JCR); Scopus (SJR),2.6,Q2,90,origem=planilha_nova
226,Daniel da Rocha Queiroz,"CARDOSO, D. S",2025,"Latent class analysis between physical activity, screen time and sleep: Association with obesity in youth. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 25, p. 884-893, 2025",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
