id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
40,Daniel Da Rocha Queiroz,"SILVA, L. B",2025,Relação longitudinal da atividade física e do comportamento sedentário com a ansiedade e o estresse psicológico em adolescentes durante a pandemia de COVID-19,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-084,,,,,,
41,Daniel Da Rocha Queiroz,"SATURNINO, L. R. L",2025,Relação dos indicadores de atividade física e comportamento sedentário com as dimensões do isolamento social em adolescentes,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n8-080,,,,,,
42,Daniel Da Rocha Queiroz,"QUEIROZ, D. R",2025,The importance of the moderate-to-vigorous physical activity and sedentary behavior combined pattern on the association between body mass index and motor competence in children,artigo,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,,,23171634,10.12820/rbafs.30e0411,,Scopus (SJR),,,90,
43,Daniel Da Rocha Queiroz,"AGUILAR, J. A",2026,Can Motor Competence be a Better Predictor than Physical Activity on Adiposity Indicators in Children? A Longitudinal Study,artigo,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,,,23171634,10.12820/rbafs.31e0423,,Scopus (SJR),,,90,
44,Daniel Da Rocha Queiroz,"ROCHA, K. B. S",2026,"Factors associated with meeting the recommendations for physical activity, sedentary behavior, and sleep in adolescents: a cross- sectional study",artigo,REVISTA PAULISTA DE PEDIATRIA (ONLINE),,,19840462,10.1590/1984-0462/2026/44/2025027,,Scopus (SJR),,,90,
45,Eduardo Zapaterra Campos,"DE ALENCAR MATOS, MARCUS",2025,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,artigo,JOURNAL OF SPORTS SCIENCES,,,02640414,10.1080/02640414.2025.2540202,,Web of Science (JCR); Scopus (SJR),2.5,Q2,90,
46,Eduardo Zapaterra Campos,"DAMASCENO, VINICIUS",2025,Validade e fiabilidade de dois testes submáximos para estimar o consumo máximo de oxigénio em adultos,artigo,RETOS,,,19882041,10.47197/retos.v69.108833,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
47,Eduardo Zapaterra Campos,"BEJDER, JACOB",2025,Time-course of muscle fatigue development during intense exercise in hypoxia and normoxia,artigo,Scientific Reports,,,20452322,10.1038/s41598-025-98762-x,,Web of Science (JCR); Scopus (SJR),3.9,Q1,90,
48,Fabiano De Souza Fonseca,"COSTA, YAGO P",2025,"Effect of caffeine on attack decision- making in trained beach volleyball players following prolonged cognitive effort induced by social media use: a randomized, single-blind, crossover pilot study",artigo,"BMC SPORTS SCIENCE, MEDICINE AND REHABILITATION",,,20521847,10.1186/s13102-024-01052-8,,Web of Science (JCR); Scopus (SJR),2.8,Q1,90,
49,Fabiano De Souza Fonseca,"SAVASSI FIGUEIREDO, LUCAS",2025,Influence of sports specificity on motor coordination in brazilian children,artigo,RETOS,,,19882041,10.47197/retos.v63.109562,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
50,Fabiano De Souza Fonseca,"RIBEIRO, JOÃO",2025,Running demands during top-up conditioning sessions compared to competitive matches in elite Portuguese soccer players,artigo,BIOLOGY OF SPORT,,,0860021X,10.5114/biolsport.2025.151650,,Web of Science (JCR); Scopus (SJR),5.0,Q1,90,
51,Fabiano De Souza Fonseca,"BARROS, T. A. R",2025,Is curve sprint performance in soccer related to other speed and power abilities across age categories?,artigo,Sport Sciences for Health,,,18251234,10.1007/s11332-025-01570-z,,Web of Science (JCR); Scopus (SJR),1.3,Q3,90,
52,Fabiano De Souza Fonseca,"BONETTI, B",2025,Can horizontal jump performance using minimal individual differences be used to regulate training load in young soccer players? A randomized controlled trial,artigo,International Journal of Sports Science & Coaching,,,17479541,10.1177/17479541251394001,,Web of Science (JCR); Scopus (SJR),2.1,Q2,90,
53,Fabiano De Souza Fonseca,"GANTOIS, PETRUS",2025,Effects of a Congested Match Schedule on Isometric Muscle Strength Performance in Elite Futsal Players,artigo,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,,,15334287,10.1519/jsc.0000000000005346,,Web of Science (JCR); Scopus (SJR),3.0,Q1,90,
54,Fabiano De Souza Fonseca,"Costa, Mateus Cordeiro",2025,Autorregulação no treinamento de força: aplicações dos métodos objetivos e subjetivos para prescrição do volume e intensidade,capitulo,Movimento e Educação Física para a promoção da saúde e do bem-estar 2,Atena Editora,,9786525834764,10.22533/at.ed.7641225130510,,,,,45,
55,Flavio Renato Barros Da Guarda,"SANTOS, ISABELA NASCIMENTO DOS",2025,Análise da oferta de Políticas Públicas de esportes nas regiões metropolitanas do Brasil,artigo,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,,,16968352,10.55905/oelv23n4-058,,,,,,
56,Flavio Renato Barros Da Guarda,"CAVALCANTI, THAURUS VINÍCIUS DE OLIVEIRA",2025,Produção científica no campo das políticas públicas de esporte e lazer no Brasil entre 2003 e 2023,artigo,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,,,16968352,10.55905/oelv23n2-040,,,,,,
57,Flavio Renato Barros Da Guarda,"NASCIMENTO, JOSÉ HENRIQUE ARRUDA",2025,Educação em saúde: contribuições para a educação física escolar no contexto brasileiro,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n2-073,,,,,,
58,Flavio Renato Barros Da Guarda,"MELO JÚNIOR, GLAUCIANO JOAQUIM DE",2025,Níveis de atividade física em pacientes hipertensos e diabéticos: um estudo na cidade de Caruaru- PE,artigo,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,,,16968352,10.55905/oelv23n4-186,,,,,,
59,Flavio Renato Barros Da Guarda,"SOUZA, GLEYCE KELLY BATISTA DE",2025,Associação entre comportamento sedentário e custos públicos com doenças crônicas: protocolo de revisão sistemática,artigo,LECTURAS EDUCACIÓN FÍSICA Y DEPORTES,,,15143465,10.46642/efd.v30i324.7472,,,,,,
60,Flavio Renato Barros Da Guarda,"SOUZA, GLEYCE KELLY BATISTA DE",2025,Associação entre comportamento sedentário e gastos públicos com doenças crônicas em adultos e idosos não institucionalizados: uma revisão sistemática,artigo,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,,,16968352,10.55905/oelv23n7-099,,,,,,
61,Flavio Renato Barros Da Guarda,SILVA. JOSÉ MARCOS,2025,Educação superior para a saúde do campo e quilombola,artigo,REVISTA DE EDUCAÇÃO POPULAR,,,19827660,10.14393/REP-2025-73746,,,,,,
62,Flavio Renato Barros Da Guarda,"LIMA, DIEGO DE MELO",2026,Effect of Physical Activity on Drug Expenditures for the Physical and Mental Health of Primary Care Users,artigo,International Journal of Environmental Research and Public Health,,,16604601,10.3390/ijerph23020221,,Web of Science (JCR); Scopus (SJR),,,90,
63,Leonardo Gomes De Oliveira Luz,"LUZ, L. G. O",2025,Correlates of Moderate?to?Vigorous Physical Activity Among Prepubertal Girls: A Bioecological Approach,artigo,AMERICAN JOURNAL OF HUMAN BIOLOGY,,,10420533,10.1002/ajhb.70024,,Web of Science (JCR); Scopus (SJR),1.7,Q1,90,
64,Leonardo Gomes De Oliveira Luz,"PRAZERES, T. M. P",2025,Sibling's resemblance in health- and performance-related fitness among Brazilian youth,artigo,RETOS,,,19882041,10.47197/retos.v66.110390,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
65,Leonardo Gomes De Oliveira Luz,"DE ALENCAR MATOS, MARCUS",2025,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,artigo,JOURNAL OF SPORTS SCIENCES,,,02640414,10.1080/02640414.2025.2540202,,Web of Science (JCR); Scopus (SJR),2.5,Q2,90,
66,Leonardo Gomes De Oliveira Luz,"DA SILVA, VINÍCIUS TENÓRIO MORAES",2026,Analysis of Factors Associated with Active and Sedentary Behaviors of Children and Adolescents Considering Bronfenbrenner?s Bioecological Theory: A Scoping Review Protocol,artigo,Adolescents,,,26737051,10.3390/adolescents6010009,,Scopus (SJR),,,90,
67,Leonardo Gomes De Oliveira Luz,"LUZ, TATIANA D.D",2026,Physical Activity prevalence and Sex-associated factors among university students during the first year of the Covid-19 pandemic: a cross-sectional study,artigo,SPORTS,,,20754663,10.3390/sports14020070,,Scopus (SJR),,,90,
68,Leonardo Gomes De Oliveira Luz,"LUZ, TATIANA D.D",2026,Associations Between Physical Activity and Quality of Life in University Students during the COVID-19 Pandemic,artigo,Health and Quality of Life Outcomes,,,14777525,10.1186/s12955-026-02495-y,,Web of Science (JCR); Scopus (SJR),3.4,Q1,90,
69,Luciano Machado Ferreira Tenorio De Oliveira,"DA PAZ SANTOS, ANA KAROLINY",2025,RELATIONSHIP BETWEEN QUALITY OF LIFE AND ASTHMA DIAGNOSIS IN ADOLESCENTS: A REVIEW STUDY,artigo,Revista Sociedade Científica,,,25958402,10.61411/rsc202578918,,,,,,
70,Ozeas De Lima Lins Filho,"BEZERRA, A. B",2025,Minimal changes in sleep parameters during overnight ambulatory blood pressure monitoring do not affect outcomes,artigo,Sleep and Breathing,,,15209512,10.1007/s11325-024-03181-3,,Web of Science (JCR); Scopus (SJR),2.0,Q3,90,
71,Ozeas De Lima Lins Filho,"DE ALMEDIA, JOSÉ RICARDO VIEIRA",2025,Effect of Physical Exercise on Sleep Quality and Depressive Symptoms in Adults: A Systematic Review and Meta-Analysis,artigo,SLEEP SCIENCE (IMPRESSO),,,19840659,10.1055/s-0045-1806954,,Web of Science (JCR); Scopus (SJR),1.8,Q3,90,
72,Ozeas De Lima Lins Filho,"FEITOSA, S. B",2025,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",artigo,Motriz,,,19806574,10.5016/s1980-6574e10229089,,Scopus (SJR),,,90,
73,Ozeas De Lima Lins Filho,"ALMEIDA, A. H",2026,Factors associated with sleep quality and duration in mothers of children with autism spectrum disorder: a cross-sectional study,artigo,EINSTEIN (SÃO PAULO),,,16794508,10.31744/einstein_journal/2026AO2004,,Scopus (SJR),,,90,
74,Ozeas De Lima Lins Filho,"Aguiar, José Lucas",2025,"Effects of acute exercise performed at different times of day on respiratory, blood pressure, and cardiac autonomic modulation outcomes in patients with obstructive sleep apnea: a randomized crossover trial",artigo,JOURNAL OF HUMAN HYPERTENSION,,,09509240,10.1038/s41371-025-01080-y,,Web of Science (JCR); Scopus (SJR),3.4,Q2,90,
75,Ozeas De Lima Lins Filho,"SAAVEDRA, J. M",2025,Exercise Interventions in Obstructive Sleep Apnea: Program Features and Clinical Benefits,artigo,Current Pulmonology Reports,,,21992428,10.1007/s13665-025-00396-x,,Web of Science (JCR),1.0,Q4,90,
76,Ozeas De Lima Lins Filho,"DE ALMEIDA, JOSÉ RICARDO VIEIRA",2026,Effects of resistance training on obstructive sleep apnea severity: a randomized controlled trial,artigo,SLEEP MEDICINE,,,13899457,10.1016/j.sleep.2026.108879,,Web of Science (JCR); Scopus (SJR),3.4,Q2,90,
77,Ozeas De Lima Lins Filho,"FANK, F",2026,Effects of combined exercise and sleep hygiene on obstructive sleep apnea severity in older adults: a randomized controlled trial,artigo,SLEEP MEDICINE,,,13899457,10.1016/j.sleep.2026.108967,,Web of Science (JCR); Scopus (SJR),3.4,Q2,90,
78,Pedro Pinheiro Paes Neto,"ROBERTO DOS SANTOS, WLALDEMIR",2025,Impact of strength training on reducing risk of fractures in people living with Human Immunodeficiency virus,artigo,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,,,13608592,10.1016/j.jbmt.2024.11.012,,Web of Science (JCR); Scopus (SJR),1.4,Q3,90,
79,Pedro Pinheiro Paes Neto,"MORENA, J. M. D. L",2025,Influence of physical activity on balance in children: a cross sectional study,artigo,RETOS,,,19882041,10.47197/retos.v63.107,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
80,Pedro Pinheiro Paes Neto,"DELFA-DE-LA-MORENA, JOSÉ MANUEL",2025,"Effects of Physical Activity Level, Strength, Balance, and Body Composition on Perceived Health in Healthy Adults",artigo,SPORTS,,,20754663,10.3390/sports13010019,,Scopus (SJR),,,90,
81,Pedro Pinheiro Paes Neto,"PAES, PEDRO PINHEIRO",2025,"Is there an association between physical activity level, nutritional status, biological maturation, and body satisfaction in adolescents?",artigo,RETOS,,,19882041,10.47197/retos.v65.109635,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
82,Pedro Pinheiro Paes Neto,"DELFA-DE-LA-MORENA, JOSÉ MANUEL",2025,Efectos de la sincronización musical y de las preferencias musicales en la respuesta fisiológica durante una sesión de ejercicio físico: un estudio cuasi experimental,artigo,RETOS,,,19882041,10.47197/retos.v65.111299,,Web of Science (JCR); Scopus (SJR),1.6,Q2,90,
83,Pedro Pinheiro Paes Neto,"PAES, PEDRO PINHEIRO",2025,A influência da atividade física na saúde mental de escolares de 08 a 12 anos de idade: um estudo transversal,artigo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,19894155,10.55905/cuadv17n5-082,,,,,,
84,Pedro Pinheiro Paes Neto,"SANTOS, WLALDEMIR ROBERTO",2025,Injuries in Female Soccer Athletes: Risk of Injury Across Different Phases of the Menstrual Cycle,artigo,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,,,02701367,10.1080/02701367.2025.2515968,,Web of Science (JCR); Scopus (SJR),1.6,Q3,90,
85,Pedro Pinheiro Paes Neto,"DELFA-DE-LA-MORENA, JOSÉ MANUEL",2025,Relationship of Physical Activity Levels and Body Composition with Psychomotor Performance and Strength in Men,artigo,Healthcare,,,22279032,10.3390/healthcare13151789,,Web of Science (JCR); Scopus (SJR),2.7,Q2,90,
86,Pedro Pinheiro Paes Neto,"DOS SANTOS, WLALDEMIR ROBERTO",2026,Effects of strength training on morphological changes of lipodystrophy in people living with HIV: A quasi-experimental non-randomized controlled trial,artigo,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,,,13608592,10.1016/j.jbmt.2025.12.026,,Web of Science (JCR); Scopus (SJR),1.4,Q3,90,
87,Pedro Pinheiro Paes Neto,"PAES, P. P",2026,University sports practice and its influence on sleep pattern,artigo,Sport Mont,,,14517485,10.26773/smj,,Scopus (SJR),,,90,
88,Pedro Pinheiro Paes Neto,"CAMAROTTI JUNIOR, F",2025,¿Es capaz la actividad física de modular positivamente la ansiedad y él estrés en adolescentes escolarizados??,capitulo,Ejercicio salud y sociedad: una mirada mutidisciplinar,Dykinson,Madrid,9791370062781,,,,,,45,
89,Pedro Pinheiro Paes Neto,"PAES, P. P",2025,Efecto inducido por placebo de la ingesta aguda de taurina sobre la capacidade aeróbica em mujeres jóvenes activas,capitulo,Ejercicio salud y sociedad: una mirada mutidisciplinar,Dykinson,Madrid,9791370062781,,,,,,45,
90,Pedro Pinheiro Paes Neto,"CAMAROTTI JUNIOR, F",2025,Repercusiones del género y la práctica deportiva en los parámetros del sueño en deportistas universitários,capitulo,Ejercicio salud y sociedad: una mirada mutidisciplinar,Dykinson,Madrid,9791370062781,,,,,,45,
91,Pedro Pinheiro Paes Neto,"PAES, PEDRO P",2026,Prefácio: Um olhar de irmão e cientista,capitulo,Alzheimer: o manual da sobrevivência,Ed. do Autor,Belém,9786501900148,,,,,,45,
92,Rafael Dos Santos Henrique,"LUZ, L. G. O",2025,Correlates of moderate-to-vigorous physical activity among prepubertal girls: a bioecological approach,artigo,AMERICAN JOURNAL OF HUMAN BIOLOGY,,,10420533,10.1002/ajhb.70024,,Web of Science (JCR); Scopus (SJR),1.7,Q1,90,
