Carimbo de data/hora,Nome do docente,Anos de vigência da captação [2021],Anos de vigência da captação [2022],Anos de vigência da captação [2023],Anos de vigência da captação [2024],Anos de vigência da captação [2025],Anos de vigência da captação [2026],Anos de vigência da captação [2027],Anos de vigência da captação [2028],Anos de vigência da captação [2029],Anos de vigência da captação [2030],Anos de vigência da captação [2031],"Título do projeto, auxílio, bolsa ou captação",Tipo de captação,Situação da captação,Agência ou fonte de fomento,Nome do edital ou chamada,Número do edital ou chamada,Ano do edital,Valor total aprovado,Valor aprovado para capital,Valor aprovado para consumo/custeio,Valor aprovado para bolsas,"Caso a captação envolva bolsa, informe a destinação",Quantidade de bolsas,Duração total das bolsas em meses,Valor total destinado às bolsas,Número de alunos de mestrado vinculados,Número de alunos de doutorado vinculados
14/06/2026 13:25:24,Rafael dos Santos Henrique,,,,,Sim,Sim,Sim,Sim,Sim,Sim,,Rede Pernambucana de Pesquisa e Inovação em Neurodiversidade,"Projeto de pesquisa, Diárias e Passagens, Projeto de inovação/tecnologia, Bolsa",Em execução,FACEPE,Edital nº 29/2025 – IPECTI: Neurodiversidade na Infância e Juventude,29/2025,2025,"R$ 4.000.000,00","R$ 680.000,00","R$ 1.184.000,00","R$ 2.136.000,00","Iniciação científica, Iniciação tecnológica, Mestrado, Doutorado, Desenvolvimento tecnológico, Apoio técnico",86,12,2136000,15,15
14/06/2026 13:35:34,Rafael dos Santos Henrique,,,,Sim,Sim,Sim,Sim,Sim,,,,Autocuidado em saúde e desempenho cognitivo em escolares,Bolsa,Em execução,FACEPE,EDITAL FACEPE 14/2023 Programa de Concessão Bolsas de Pós-Graduação (1º sem./2024),14/2023,2023,"R$ 148.800,00","R$ 0,00","R$ 0,00","R$ 148.800,00",Doutorado,1,48,148800,0,1
14/06/2026 13:37:44,Rafael dos Santos Henrique,,,Sim,Sim,Sim,Sim,Sim,,,,,Autocuidado em saúde e fatores de risco cardiometabólico em escolares,Bolsa,Em execução,FACEPE,EDITAL FACEPE 35/2022 Programa de Concessão Bolsas de Pós-Graduação (1º sem./2023),35/2022,2022,"R$ 148.800,00","R$ 0,00","R$ 0,00","R$ 148.800,00",Doutorado,1,48,148800,0,1
14/06/2026 13:41:36,Rafael dos Santos Henrique,,,Sim,Sim,Sim,,,,,,,"Impacto da pandemia por COVID-19 sobre a relação entre atividade física, comportamento sedentário e sono e fatores de risco cardiometabólico em escolares",Bolsa,Concluída,FACEPE,EDITAL FACEPE 35/2022 Programa de Concessão Bolsas de Pós-Graduação (1º sem./2023),35/2022,2022,"R$ 50.400,00","R$ 0,00","R$ 0,00","R$ 50.400,00",Mestrado,1,24,50400,1,0
14/06/2026 13:44:22,Rafael dos Santos Henrique,,,Sim,Sim,Sim,,,,,,,"Efeitos do treinamento intervalado de alta intensidade sobre o desempenho físico, cognitivo e cardiometabólico de escolares ",Bolsa,Concluída,FACEPE,EDITAL FACEPE 35/2022 Programa de Concessão Bolsas de Pós-Graduação (1º sem./2023),35/2022,2022,"R$ 50.400,00","R$ 0,00","R$ 0,00","R$ 50.400,00",Mestrado,1,24,50400,1,0
14/06/2026 13:47:20,Rafael dos Santos Henrique,,,Sim,Sim,Sim,Sim,,,,,,Impacto da pandemia por COVID-19 no desempenho acadêmico e cognitivo de crianças e adolescentes de Lagoa do Carro: análise de fatores associados,Bolsa,Em execução,FACEPE,EDITAL FACEPE 24/2021 Programa de Concessão Bolsas de Pós-Graduação (1º sem./2022),24/2021,2021,"R$ 148.800,00","R$ 0,00","R$ 0,00","R$ 148.800,00",Doutorado,1,48,148800,0,1
14/06/2026 13:49:36,Rafael dos Santos Henrique,Sim,Sim,Sim,,,,,,,,,"Relação entre desempenho motor, obesidade e desempenho acadêmico de crianças e adolescentes: Análise de potenciais mediadores",Bolsa,Concluída,FACEPE,EDITAL FACEPE 07/2021 Programa de Concessão Bolsas de Pós-Graduação (2º sem./2021),07/2021,2021,"R$ 50.400,00","R$ 0,00","R$ 0,00","R$ 50.400,00",Mestrado,1,24,50400,1,0
14/06/2026 13:52:02,Rafael dos Santos Henrique,Sim,Sim,Sim,,,,,,,,,Influência de características individuais e da escola no desempenho motor de crianças e adolescentes: Um estudo multinível com crianças de Lagoa do Carro-PE.,Bolsa,Concluída,FACEPE,EDITAL FACEPE 14/2020 Concessão de Bolsas de Pós-Graduação stricto sensu (1º semestre/2021) ,14/2020,2021,"R$ 50.400,00","R$ 0,00","R$ 0,00","R$ 50.400,00",Mestrado,1,24,50400,1,0
14/06/2026 20:45:10,Rafael dos Santos Henrique,,Sim,Sim,,,,,,,,,Impacto da pandemia em comportamentos integrados das 24 horas de movimento e a sua relação com a cognição de escolares,Bolsa,Concluída,FACEPE,PIBIC 2022 - 05/2022,05/2022,2022,"R$ 6.000,00","R$ 0,00",0,6000,Iniciação científica,1,12,6000,0,0
14/06/2026 20:46:59,Rafael dos Santos Henrique,,,Sim,Sim,,,,,,,,Impacto da pandemia sobre a relação entre comportamento integrado das 24h de movimento e desempenho cognitivo de escolares: o papel mediador da aptidão física,Bolsa,Concluída,FACEPE,PIBIC 2023 - 01/2023,01/2023,2023,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,0,0
14/06/2026 20:48:16,Rafael dos Santos Henrique,,,,,Sim,Sim,,,,,,Autocuidado em saúde e combate ao comportamento sedentário de escolares em escolares,Bolsa,Em execução,FACEPE,PIBIC 2025 - 01/2025,01/2025,2025,"R$ 8.400,00","R$ 0,00",0,8400,Iniciação científica,1,12,8400,0,0
