excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
432,Paulo Felipe Ribeiro Bandeira,,,,,"The Test of Gross Motor Development-Third Edition: A Bifactor Model, Dimensionality, and Measurement Invariance"
433,Paulo Felipe Ribeiro Bandeira,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,,"The Korperkoordinations Test Fur Kinder for Iranian Youth: Factor Structure, Measurement Invariance, and Covariates"
434,Clarice Maria de Lucena Martins,,PERCEPTUAL AND MOTOR SKILLS,,,Investigating the Construct Validity and Reliability of the Test of Motor Competence Across Iranians? Lifespan
435,Clarice Maria de Lucena Martins,,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,,,"The Korperkoordinations Test Fur Kinder for Iranian Youth: Factor Structure, Measurement Invariance, and Covariates"
436,Paulo Felipe Ribeiro Bandeira,,PERCEPTUAL AND MOTOR SKILLS,,,Investigating the Construct Validity and Reliability of the Test of Motor Competence Across Iranians? Lifespan
442,Paulo Felipe Ribeiro Bandeira,,PERCEPTUAL AND MOTOR SKILLS,,,The Acute Effects of Walking With Blood Flow Restriction on Learning of a Visuomotor Tracking Task
443,Clarice Maria de Lucena Martins,,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE),,,"ARE THERE DIFFERENCES BETWEEN MALE AND FEMALE BADMINTON ATHLETES IN SLEEP, PHYSICAL ACTIVITY AND SEDENTARY TIME?"
448,Paulo Roberto Cavalcanti Carvalho,,REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO,,,Efeitos de um treinamento de forca e combinado em idosos com hipertensao arterial
449,Paulo Roberto Cavalcanti Carvalho,,"REVISTA BRASILEIRA DE OBESIDADE, NUTRIÇÃO E EMAGRECIMENTO",,,Efeitos do treinamento de forca muscular e da alimentacao sobre indicados antropometricos em idosos de ambos os sexos
450,Paulo Roberto Cavalcanti Carvalho,,REVISTA BAIANA DE SAÚDE PÚBLICA (ONLINE),,,"Perfil epidemiologico, nivel de atividade fisica durante a pandemia de Covid-19 de individuos de uma Universidade Publica de Recife/PE"
