id,docente,tipo_producao,ano,revista_ou_veiculo,titulo,doi,indexacao,pontuacao
69,Luciano Machado Ferreira Tenorio De Oliveira,artigo,2025,Revista Sociedade Científica,RELATIONSHIP BETWEEN QUALITY OF LIFE AND ASTHMA DIAGNOSIS IN ADOLESCENTS: A REVIEW STUDY,10.61411/rsc202578918,,
72,Ozeas De Lima Lins Filho,artigo,2025,Motriz,"Does meeting recommendations for physical activity, screen time, and sleep increase the chance of better health perception in adolescents?",10.5016/s1980-6574e10229089,Scopus (SJR),90
73,Ozeas De Lima Lins Filho,artigo,2026,EINSTEIN (SÃO PAULO),Factors associated with sleep quality and duration in mothers of children with autism spectrum disorder: a cross-sectional study,10.31744/einstein_journal/2026AO2004,Scopus (SJR),90
77,Ozeas De Lima Lins Filho,artigo,2026,SLEEP MEDICINE,Effects of combined exercise and sleep hygiene on obstructive sleep apnea severity in older adults: a randomized controlled trial,10.1016/j.sleep.2026.108967,Web of Science (JCR); Scopus (SJR),90
79,Pedro Pinheiro Paes Neto,artigo,2025,RETOS,Influence of physical activity on balance in children: a cross sectional study,10.47197/retos.v63.107,Web of Science (JCR); Scopus (SJR),90
80,Pedro Pinheiro Paes Neto,artigo,2025,SPORTS,"Effects of Physical Activity Level, Strength, Balance, and Body Composition on Perceived Health in Healthy Adults",10.3390/sports13010019,Scopus (SJR),90
81,Pedro Pinheiro Paes Neto,artigo,2025,RETOS,"Is there an association between physical activity level, nutritional status, biological maturation, and body satisfaction in adolescents?",10.47197/retos.v65.109635,Web of Science (JCR); Scopus (SJR),90
82,Pedro Pinheiro Paes Neto,artigo,2025,RETOS,Efectos de la sincronización musical y de las preferencias musicales en la respuesta fisiológica durante una sesión de ejercicio físico: un estudio cuasi experimental,10.47197/retos.v65.111299,Web of Science (JCR); Scopus (SJR),90
83,Pedro Pinheiro Paes Neto,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,A influência da atividade física na saúde mental de escolares de 08 a 12 anos de idade: um estudo transversal,10.55905/cuadv17n5-082,,
86,Pedro Pinheiro Paes Neto,artigo,2026,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,Effects of strength training on morphological changes of lipodystrophy in people living with HIV: A quasi-experimental non-randomized controlled trial,10.1016/j.jbmt.2025.12.026,Web of Science (JCR); Scopus (SJR),90
88,Pedro Pinheiro Paes Neto,capitulo,2025,Ejercicio salud y sociedad: una mirada mutidisciplinar,¿Es capaz la actividad física de modular positivamente la ansiedad y él estrés en adolescentes escolarizados??,,,45
89,Pedro Pinheiro Paes Neto,capitulo,2025,Ejercicio salud y sociedad: una mirada mutidisciplinar,Efecto inducido por placebo de la ingesta aguda de taurina sobre la capacidade aeróbica em mujeres jóvenes activas,,,45
90,Pedro Pinheiro Paes Neto,capitulo,2025,Ejercicio salud y sociedad: una mirada mutidisciplinar,Repercusiones del género y la práctica deportiva en los parámetros del sueño en deportistas universitários,,,45
91,Pedro Pinheiro Paes Neto,capitulo,2026,Alzheimer: o manual da sobrevivência,Prefácio: Um olhar de irmão e cientista,,,45
93,Rafael Dos Santos Henrique,artigo,2025,RETOS,Sibling's resemblance in health- and performance-related fitness among Brazilian youth,10.47197/retos.v66.110390,Web of Science (JCR); Scopus (SJR),90
94,Rafael Dos Santos Henrique,artigo,2025,RETOS,"Physical growth, school environment, and birth information in the physical activity of children: A multilevel analysis of ELOS-Pré study",10.47197/retos.v68.109408,Web of Science (JCR); Scopus (SJR),90
96,Rafael Dos Santos Henrique,artigo,2025,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,Neural and Muscular Determinants of Performance Fatigability Are Independent of Work and Recovery Durations During High-Intensity Interval Exercise in Males,10.1080/02701367.2024.2407891,Web of Science (JCR); Scopus (SJR),90
99,Rafael Dos Santos Henrique,artigo,2025,RETOS,What school environment characteristics influence the physical fitness of low-income schoolchildren?,10.47197/retos.v66.114142,Web of Science (JCR); Scopus (SJR),90
100,Rafael Dos Santos Henrique,artigo,2025,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,Gender differences in children?s physical literacy and physical activity: a network analysis,10.12820/rbafs.30e0416,Scopus (SJR),90
102,Rafael Dos Santos Henrique,artigo,2025,SPORT SCIENCES FOR HEALTH (TESTO STAMPATO),Is curve sprint performance in soccer related to other speed and power abilities across age categories?,10.1007/s11332-025-01570-z,Web of Science (JCR); Scopus (SJR),90
110,Saulo Fernandes Melo De Oliveira,artigo,2025,International Journal of Sports Science & Coaching,The association between gaze behavior and parabadminton serves accuracy,10.1177/17479541251374289,Web of Science (JCR); Scopus (SJR),90
111,Saulo Fernandes Melo De Oliveira,artigo,2025,JOURNAL OF SPINAL CORD MEDICINE,Muscle activation in wheelchair Parabadminton: Effects of intensity and racket use,10.1080/10790268.2025.2572229,Web of Science (JCR); Scopus (SJR),90
113,Saulo Fernandes Melo De Oliveira,capitulo,2025,Atualizações em Ciências do Esporte e Exercício,Hipnose no esporte: do palco à pista,,,45
115,Tony Meireles Dos Santos,artigo,2025,RETOS,Intrinsic judgment error in men?s championship world surf league: WSL 2021,10.47197/retos.v64.106821,Web of Science (JCR); Scopus (SJR),90
117,Vilde Gomes De Menezes,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Produção científica no campo das políticas públicas de esporte e lazer no Brasil entre 2003 e 2023,10.55905/oelv23n2-040,,
118,Vilde Gomes De Menezes,artigo,2025,CUADERNOS DE EDUCACIÓN Y DESARROLLO,Educação em saúde: contribuições para a educação física escolar no contexto brasileiro,10.55905/cuadv17n2-073,,
122,Vilde Gomes De Menezes,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Níveis de atividade física em pacientes hipertensos e diabéticos: um estudo na cidade de Caruaru- PE,10.55905/oelv23n4-186,,
127,Vilde Gomes De Menezes,artigo,2025,LUMEN ET VIRTUS,AFROCENTRICIDAD Y EL DESCUIDO DE LAS POLÍTICAS EDUCATIVAS PARA LAS RELACIONES ÉTNICO-RACIALES,10.56238/levv16n49-041,,
128,Vilde Gomes De Menezes,artigo,2025,EDUCAÇÃO EM FOCO (JUIZ DE FORA),CONCEPÇÕES DE EDUCAÇÃO EM SAÚDE E SUAS REPERCUSSÕES NA TRAJETÓRIA DE ESTUDANTES DA REDE PÚBLICA ESTADUAL DE ENSINO MÉDIO DE PERNAMBUCO,,,
129,Vilde Gomes De Menezes,artigo,2025,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,Associação entre comportamento sedentário e gastos públicos com doenças crônicas em adultos e idosos não institucionalizados: uma revisão sistemática,10.55905/oelv23n7-099,,
132,Vilde Gomes De Menezes,artigo,2025,REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA,"O regulamento de fair play financeiro (FFP) da UEFA: Incidência empírica de critérios do FFP no contexto dos clubes de futebol moçambicanos, 2024",,,
