grupo,excel_row,docente,ano,periodico,doi_identificado,titulo_extraido_local
57,446,Lucas Eduardo Rodrigues dos Santos,,JOURNAL OF PHYSICAL EDUCATION (ONLINE),10.4025/jphyseduc.v36i1.3607,INTEGRATION OF CYBERCULTURE IN PHYSICAL EDUCATION COURSES AT FEDERAL UNIVERSITIES IN NORTHEASTERN BRAZIL
58,457,Tony Meireles dos Santos,,,,DEPENDENCIA COMPORTAMENTAL E ADESAO A PRATICA DE ATIVIDADES FISICAS EM AMBIENTES NATURAIS: UMA REFLEXAO A PARTIR DO SURFE
58,458,Lucas Eduardo Rodrigues dos Santos,,,,DEPENDENCIA COMPORTAMENTAL E ADESAO A PRATICA DE ATIVIDADES FISICAS EM AMBIENTES NATURAIS: UMA REFLEXAO A PARTIR DO SURFE
59,469,Paulo Roberto Cavalcanti Carvalho,,Revista Brasileira de Cineantropometria e Desempenho Humano,10.1590/1980-0037.2025v27e89829,The influence of overweight on postural balance and mobility of candidates for bariatric surgery
59,470,André dos Santos Costa,,Revista Brasileira de Cineantropometria e Desempenho Humano,10.1590/1980-0037.2025v27e89829,The influence of overweight on postural balance and mobility of candidates for bariatric surgery
60,482,André dos Santos Costa,,RBNE - Revista Brasileira de Nutrição Esportiva,,Suplementacao de Nitrato no Desempenho durante Exercicio Intermitente de Alta Intensidade: uma revisao de literatura
60,483,Eduardo Zapaterra Campos,,RBNE - Revista Brasileira de Nutrição Esportiva,,SUPLEMENTACAO DE NITRATO NO DESEMPENHO DURANTE EXERCICIO INTERMITENTE DE ALTA INTENSIDADE: UMA REVISAO DE LITERATURA
61,491,Daniel da Rocha Queiroz,,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,10.12820/rbafs.30e0411,Atividade fisica para criancas ate 5 anos: Guia de Atividade Fisica para a Populacao Brasileira
61,492,Clarice Maria de Lucena Martins,,REVISTA BRASILEIRA DE ATIVIDADE FÍSICA E SAÚDE,10.12820/rbafs.30e0411,Atividade fisica para criancas ate 5 anos: Guia de Atividade Fisica para a Populacao Brasileira
62,494,Lucas Eduardo Rodrigues dos Santos,,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,Is There a Dose-Response Relationship between High-Intensity Interval Exercise (HIIE) Intensity and Affective Valence? Analysis of Three HIIE Sessions Performed with Different Amplitudes
